GPT_Code ,GPT_Url ,GPT_Markdown,File_size
100,95,100,1686
100,100,85,6901
100,100,100,4859
100,100,100,2845
12.5,70,84,8764
100,100,100,3438
100,100,100,2605
100,100,92,1964
15.78947368,59,93,8114
100,100,100,1234
46.42857143,44,70,7744
100,100,100,2284
100,58,72,10035
50,99,83,5362
50,90,100,9209
100,100,100,1486
100,75,95,6759
100,100,92,3596
100,100,100,4258
100,87,100,7020
100,100,100,1454
100,100,85,3983
100,97,100,3268
100,93,100,4716
100,99,100,4387
100,66,79,9832
100,99,100,4109
100,100,100,726
100,89,85,6860
100,100,100,3347
100,89,66,3918
100,100,100,3683
100,100,100,1702
100,100,100,5939
100,89,98,5318
100,78,73,11191
42.85714286,82,100,6833
100,100,80,2565
100,100,100,3138
8.823529412,60,59,9409
26.31578947,51,80,7496
100,75,100,8759
100,100,100,10723
40,93,94,4937
100,76,100,2770
50,100,100,2987
100,100,100,2842
100,100,100,1428
100,80,100,7874
19.44444444,83,75,9116
